Environment Rminhard Rmaxhard Rmineasy Rmaxeasy
procgen:procgen-coinrun-v0 5 10 5 10
procgen:procgen-starpilot-v0 1.5 35 2.5 64
procgen:procgen-caveflyer-v0 2 13.4 3.5 12
procgen:procgen-dodgeball-v0 1.5 19 1.5 19
procgen:procgen-fruitbot-v0 -.5 27.2 -1.5 32.4
procgen:procgen-chaser-v0 .5 14.2 .5 13
procgen:procgen-miner-v0 1.5 20 1.5 13
procgen:procgen-jumper-v0 1 10 3 10
procgen:procgen-leaper-v0 1.5 10 3 10
procgen:procgen-maze-v0 4 10 5 10
procgen:procgen-bigfish-v0 0 40 1 40
procgen:procgen-heist-v0 2 10 3.5 10
procgen:procgen-climber-v0 1 12.6 2 12.6
procgen:procgen-plunder-v0 3 30 4.5 30
procgen:procgen-ninja-v0 2 10 3.5 10
procgen:procgen-bossfight-v0 .5 13 .5 13
